iter	Passed	Remaining
0	26	26557
1	52	26345
2	76	25358
3	99	24767
4	123	24559
5	155	25746
6	202	28666
7	226	28092
8	246	27125
9	266	26365
10	281	25325
11	297	24488
12	331	25162
13	347	24464
14	365	23971
15	388	23864
16	411	23821
17	434	23698
18	459	23700
19	483	23694
20	509	23758
21	533	23737
22	556	23643
23	576	23463
24	599	23361
25	620	23232
26	642	23140
27	658	22850
28	676	22661
29	692	22380
30	707	22118
31	742	22449
32	768	22528
33	810	23018
34	828	22855
35	853	22854
36	865	22525
37	878	22241
38	893	22025
39	909	21817
40	925	21655
41	939	21433
42	956	21277
43	971	21106
44	986	20934
45	1001	20778
46	1018	20648
47	1038	20594
48	1057	20525
49	1072	20368
50	1086	20224
51	1099	20047
52	1116	19943
53	1131	19827
54	1150	19774
55	1164	19628
56	1188	19666
57	1216	19760
58	1231	19636
59	1245	19514
60	1268	19520
61	1288	19487
62	1310	19492
63	1334	19518
64	1358	19548
65	1376	19486
66	1398	19474
67	1427	19559
68	1451	19585
69	1475	19597
70	1495	19563
71	1512	19493
72	1527	19397
73	1541	19294
74	1558	19226
75	1575	19151
76	1593	19096
77	1608	19015
78	1626	18965
79	1667	19172
80	1691	19192
81	1739	19477
82	1755	19389
83	1769	19295
84	1790	19270
85	1829	19439
86	1849	19406
87	1873	19413
88	1907	19520
89	1937	19593
90	1960	19583
91	1983	19572
92	2002	19533
93	2022	19497
94	2047	19503
95	2074	19532
96	2090	19465
97	2115	19467
98	2132	19409
99	2150	19357
100	2166	19286
101	2182	19215
102	2197	19139
103	2213	19069
104	2234	19046
105	2255	19024
106	2286	19082
107	2312	19103
108	2336	19102
109	2352	19032
110	2366	18956
111	2381	18880
112	2396	18810
113	2409	18727
114	2423	18649
115	2438	18582
116	2454	18525
117	2471	18472
118	2486	18409
119	2507	18387
120	2520	18307
121	2536	18252
122	2554	18213
123	2574	18186
124	2594	18158
125	2611	18111
126	2634	18109
127	2649	18053
128	2665	17994
129	2679	17929
130	2694	17872
131	2710	17822
132	2725	17765
133	2742	17725
134	2756	17663
135	2774	17625
136	2788	17565
137	2803	17514
138	2821	17474
139	2841	17457
140	2858	17415
141	2875	17377
142	2896	17359
143	2914	17327
144	2937	17321
145	2952	17270
146	2967	17220
147	2983	17175
148	2999	17132
149	3017	17096
150	3030	17038
151	3055	17044
152	3083	17068
153	3096	17011
154	3112	16965
155	3131	16944
156	3148	16904
157	3163	16857
158	3179	16816
159	3197	16786
160	3215	16755
161	3232	16721
162	3248	16680
163	3264	16640
164	3281	16608
165	3311	16639
166	3330	16610
167	3357	16625
168	3392	16683
169	3419	16696
170	3450	16729
171	3474	16727
172	3497	16719
173	3511	16669
174	3525	16621
175	3543	16590
176	3559	16548
177	3574	16509
178	3592	16477
179	3607	16433
180	3624	16401
181	3640	16360
182	3654	16314
183	3670	16279
184	3686	16240
185	3702	16204
186	3719	16170
187	3735	16134
188	3757	16125
189	3781	16120
190	3824	16198
191	3845	16183
192	3872	16190
193	3898	16198
194	3922	16192
195	3944	16180
196	3961	16146
197	3976	16106
198	3990	16062
199	4006	16024
200	4023	15993
201	4038	15954
202	4058	15934
203	4083	15935
204	4101	15905
205	4120	15880
206	4146	15885
207	4167	15867
208	4197	15884
209	4220	15875
210	4257	15921
211	4291	15951
212	4315	15945
213	4337	15930
214	4353	15895
215	4370	15863
216	4387	15831
217	4415	15837
218	4435	15819
219	4454	15792
220	4470	15759
221	4487	15725
222	4507	15706
223	4528	15686
224	4545	15658
225	4568	15645
226	4601	15667
227	4617	15636
228	4635	15606
229	4650	15567
230	4669	15543
231	4684	15506
232	4711	15509
233	4726	15472
234	4742	15437
235	4757	15402
236	4774	15370
237	4790	15338
238	4815	15332
239	4831	15298
240	4845	15259
241	4863	15233
242	4878	15198
243	4899	15180
244	4915	15146
245	4936	15130
246	4955	15108
247	4975	15088
248	4993	15059
249	5007	15021
250	5023	14991
251	5039	14959
252	5070	14970
253	5084	14932
254	5101	14903
255	5117	14873
256	5134	14843
257	5148	14807
258	5163	14772
259	5179	14741
260	5196	14714
261	5215	14689
262	5231	14660
263	5247	14628
264	5263	14599
265	5278	14566
266	5296	14541
267	5317	14524
268	5332	14489
269	5347	14458
270	5364	14430
271	5383	14409
272	5398	14376
273	5419	14359
274	5435	14330
275	5452	14304
276	5466	14269
277	5483	14240
278	5498	14210
279	5515	14182
280	5531	14152
281	5575	14196
282	5596	14180
283	5628	14190
284	5645	14164
285	5665	14144
286	5684	14123
287	5700	14093
288	5717	14065
289	5732	14033
290	5748	14006
291	5763	13975
292	5782	13954
293	5797	13921
294	5813	13892
295	5832	13871
296	5848	13844
297	5865	13817
298	5880	13787
299	5904	13776
300	5920	13748
301	5938	13724
302	5952	13693
303	5967	13663
304	5986	13640
305	6003	13614
306	6019	13588
307	6034	13558
308	6052	13535
309	6067	13506
310	6087	13487
311	6104	13461
312	6122	13437
313	6137	13409
314	6154	13382
315	6172	13361
316	6189	13335
317	6205	13309
318	6219	13276
319	6233	13245
320	6247	13214
321	6264	13189
322	6283	13169
323	6298	13142
324	6318	13123
325	6334	13096
326	6351	13071
327	6371	13054
328	6389	13030
329	6408	13011
330	6440	13016
331	6465	13008
332	6488	12995
333	6508	12978
334	6525	12953
335	6552	12948
336	6579	12943
337	6611	12949
338	6647	12960
339	6662	12933
340	6682	12914
341	6701	12893
342	6723	12877
343	6743	12859
344	6757	12829
345	6775	12806
346	6791	12780
347	6806	12751
348	6823	12727
349	6838	12700
350	6877	12715
351	6892	12687
352	6918	12681
353	6934	12653
354	6948	12625
355	6964	12599
356	6979	12571
357	6994	12543
358	7011	12519
359	7028	12495
360	7052	12484
361	7084	12485
362	7101	12462
363	7119	12439
364	7135	12413
365	7153	12391
366	7168	12364
367	7184	12338
368	7205	12320
369	7223	12298
370	7239	12274
371	7256	12249
372	7271	12223
373	7289	12200
374	7304	12174
375	7322	12151
376	7341	12132
377	7361	12112
378	7374	12082
379	7388	12054
380	7402	12026
381	7418	12002
382	7439	11984
383	7455	11959
384	7470	11933
385	7485	11907
386	7504	11887
387	7522	11865
388	7537	11839
389	7555	11817
390	7570	11791
391	7587	11767
392	7610	11755
393	7627	11731
394	7652	11721
395	7669	11698
396	7688	11678
397	7707	11658
398	7722	11632
399	7740	11610
400	7754	11583
401	7771	11560
402	7787	11535
403	7815	11529
404	7829	11503
405	7845	11478
406	7862	11456
407	7879	11432
408	7909	11429
409	7926	11406
410	7941	11380
411	7968	11372
412	7992	11359
413	8007	11334
414	8022	11309
415	8037	11283
416	8051	11256
417	8075	11243
418	8088	11215
419	8113	11203
420	8136	11190
421	8150	11164
422	8175	11151
423	8189	11125
424	8203	11098
425	8217	11072
426	8232	11046
427	8245	11020
428	8267	11004
429	8282	10979
430	8296	10953
431	8312	10929
432	8331	10910
433	8350	10890
434	8377	10880
435	8391	10854
436	8408	10833
437	8431	10819
438	8449	10797
439	8464	10772
440	8478	10747
441	8495	10725
442	8516	10708
443	8536	10690
444	8556	10671
445	8572	10648
446	8588	10624
447	8603	10600
448	8619	10577
449	8634	10552
450	8651	10531
451	8671	10513
452	8686	10488
453	8712	10478
454	8730	10457
455	8749	10437
456	8766	10416
457	8782	10393
458	8806	10379
459	8822	10356
460	8841	10336
461	8856	10313
462	8874	10293
463	8890	10269
464	8905	10246
465	8923	10225
466	8961	10227
467	8981	10209
468	9009	10200
469	9030	10182
470	9075	10193
471	9117	10198
472	9135	10178
473	9160	10165
474	9175	10141
475	9202	10130
476	9232	10122
477	9259	10111
478	9274	10087
479	9289	10063
480	9303	10038
481	9333	10030
482	9350	10008
483	9364	9983
484	9379	9959
485	9395	9936
486	9415	9918
487	9448	9913
488	9461	9887
489	9483	9870
490	9502	9851
491	9530	9840
492	9545	9816
493	9566	9799
494	9582	9775
495	9599	9754
496	9617	9733
497	9633	9711
498	9650	9688
499	9668	9668
500	9682	9644
501	9697	9619
502	9713	9597
503	9730	9576
504	9749	9556
505	9763	9531
506	9779	9509
507	9794	9485
508	9808	9461
509	9824	9439
510	9845	9421
511	9867	9404
512	9899	9397
513	9923	9383
514	9944	9364
515	9960	9342
516	9976	9320
517	9993	9298
518	10008	9275
519	10026	9255
520	10045	9236
521	10094	9243
522	10111	9222
523	10128	9200
524	10145	9178
525	10162	9157
526	10178	9135
527	10193	9112
528	10209	9090
529	10227	9070
530	10244	9048
531	10261	9026
532	10276	9004
533	10296	8985
534	10313	8963
535	10329	8942
536	10346	8920
537	10373	8908
538	10388	8885
539	10405	8863
540	10425	8845
541	10443	8825
542	10458	8801
543	10471	8777
544	10485	8754
545	10520	8748
546	10538	8727
547	10556	8706
548	10572	8685
549	10588	8663
550	10605	8642
551	10622	8621
552	10640	8601
553	10656	8579
554	10673	8557
555	10713	8555
556	10747	8548
557	10776	8536
558	10793	8514
559	10809	8492
560	10824	8470
561	10841	8449
562	10855	8426
563	10871	8403
564	10887	8382
565	10901	8358
566	10915	8335
567	10931	8313
568	10947	8292
569	10961	8269
570	10998	8263
571	11013	8240
572	11032	8221
573	11052	8202
574	11070	8182
575	11102	8172
576	11126	8156
577	11146	8138
578	11165	8118
579	11185	8099
580	11210	8084
581	11233	8068
582	11254	8049
583	11276	8032
584	11299	8015
585	11321	7998
586	11342	7980
587	11376	7971
588	11396	7952
589	11412	7930
590	11454	7927
591	11490	7919
592	11508	7898
593	11527	7879
594	11544	7857
595	11560	7836
596	11579	7816
597	11596	7795
598	11618	7777
599	11638	7759
600	11655	7737
601	11672	7716
602	11686	7693
603	11703	7672
604	11719	7651
605	11735	7630
606	11752	7609
607	11772	7589
608	11788	7568
609	11804	7547
610	11820	7525
611	11835	7503
612	11851	7481
613	11866	7460
614	11892	7445
615	11913	7426
616	11927	7404
617	11943	7382
618	11959	7361
619	11974	7339
620	11989	7317
621	12003	7294
622	12020	7273
623	12036	7252
624	12051	7231
625	12067	7209
626	12081	7187
627	12099	7167
