id,Rings
90615,10
90616,9
90617,7
90618,7
90619,7
90620,8
90621,9
90622,6
90623,7
90624,11
90625,9
90626,5
90627,7
90628,8
90629,7
90630,7
90631,9
90632,6
90633,8
90634,7
90635,6
90636,7
90637,8
90638,8
90639,9
90640,8
90641,7
90642,8
90643,6
90644,8
90645,10
90646,7
90647,8
90648,11
90649,9
90650,10
90651,8
90652,7
90653,10
90654,5
90655,7
90656,7
90657,7
90658,7
90659,7
90660,7
90661,7
90662,7
90663,8
90664,7
90665,9
90666,8
90667,5
90668,11
90669,7
90670,8
90671,8
90672,8
90673,9
90674,7
90675,6
90676,8
90677,7
90678,4
90679,7
90680,7
90681,8
90682,10
90683,10
90684,10
90685,7
90686,7
90687,9
90688,7
90689,8
90690,17
90691,7
90692,10
90693,8
90694,8
90695,8
90696,8
90697,7
90698,8
90699,4
90700,7
90701,8
90702,8
90703,10
90704,4
90705,10
90706,10
90707,6
90708,7
90709,8
90710,8
90711,8
90712,7
90713,11
90714,7
90715,7
90716,7
90717,7
90718,4
90719,5
90720,8
90721,7
90722,7
90723,7
90724,8
90725,5
90726,7
90727,7
90728,7
90729,8
90730,7
90731,5
90732,7
90733,9
90734,8
90735,7
90736,7
90737,6
90738,7
90739,10
90740,8
90741,6
90742,8
90743,11
90744,7
90745,7
90746,7
90747,4
90748,10
90749,8
90750,4
90751,7
90752,7
90753,7
90754,8
90755,8
90756,8
90757,10
90758,8
90759,7
90760,7
90761,8
90762,7
90763,7
90764,10
90765,8
90766,7
90767,11
90768,11
90769,5
90770,11
90771,10
90772,5
90773,7
90774,7
90775,8
90776,7
90777,7
90778,8
90779,10
90780,8
90781,9
90782,7
90783,8
90784,8
90785,7
90786,6
90787,8
90788,4
90789,7
90790,7
90791,7
90792,7
90793,8
90794,6
90795,9
90796,9
90797,8
90798,8
90799,7
90800,11
90801,10
90802,7
90803,8
90804,11
90805,11
90806,7
90807,7
90808,8
90809,8
90810,7
90811,8
90812,6
90813,8
90814,7
90815,7
90816,6
90817,9
90818,9
90819,7
90820,7
90821,7
90822,7
90823,5
90824,8
90825,7
90826,6
90827,4
90828,7
90829,7
90830,8
90831,7
90832,7
90833,8
90834,8
90835,7
90836,8
90837,5
90838,9
90839,7
90840,8
90841,7
90842,9
90843,8
90844,10
90845,11
90846,7
90847,7
90848,9
90849,7
90850,7
90851,10
90852,6
90853,11
90854,9
90855,5
90856,8
90857,11
90858,9
90859,9
90860,7
90861,8
90862,9
90863,8
90864,7
90865,10
90866,9
90867,11
90868,10
90869,7
90870,11
90871,7
90872,9
90873,7
90874,10
90875,7
90876,7
90877,8
90878,7
90879,10
90880,7
90881,10
90882,8
90883,9
90884,9
90885,7
90886,9
90887,5
90888,8
90889,11
90890,8
90891,9
90892,7
90893,4
90894,8
90895,11
90896,6
90897,5
90898,5
90899,8
90900,8
90901,10
90902,7
90903,7
90904,7
90905,7
90906,7
90907,10
90908,4
90909,9
90910,8
90911,7
90912,10
90913,8
90914,8
90915,7
90916,7
90917,9
90918,7
90919,8
90920,8
90921,7
90922,7
90923,7
90924,7
90925,11
90926,8
90927,9
90928,9
90929,11
90930,10
90931,8
90932,9
90933,10
90934,10
90935,7
90936,9
90937,11
90938,7
90939,8
90940,7
90941,7
90942,5
90943,8
90944,7
90945,7
90946,7
90947,7
90948,8
90949,7
90950,9
90951,8
90952,7
90953,7
90954,8
90955,7
90956,8
90957,11
90958,4
90959,7
90960,9
90961,7
90962,11
90963,6
90964,8
90965,6
90966,8
90967,8
90968,9
90969,7
90970,7
90971,7
90972,8
90973,7
90974,8
90975,10
90976,7
90977,7
90978,5
90979,8
90980,7
90981,8
90982,7
90983,4
90984,8
90985,5
90986,8
90987,7
90988,8
90989,11
90990,8
90991,7
90992,4
90993,7
90994,8
90995,5
90996,9
90997,7
90998,7
90999,6
91000,8
91001,7
91002,7
91003,7
91004,7
91005,7
91006,8
91007,7
91008,7
91009,11
91010,8
91011,8
91012,7
91013,7
91014,7
91015,7
91016,7
91017,8
91018,7
91019,11
91020,7
91021,11
91022,7
91023,6
91024,7
91025,11
91026,8
91027,7
91028,10
91029,7
91030,7
91031,7
91032,7
91033,4
91034,8
91035,8
91036,10
91037,7
91038,9
91039,8
91040,7
91041,7
91042,7
91043,11
91044,7
91045,8
91046,7
91047,7
91048,8
91049,8
91050,10
91051,7
91052,8
91053,8
91054,7
91055,7
91056,10
91057,9
91058,11
91059,8
91060,9
91061,7
91062,10
91063,7
91064,10
91065,8
91066,10
91067,7
91068,11
91069,7
91070,7
91071,7
91072,6
91073,6
91074,10
91075,7
91076,9
91077,7
91078,7
91079,7
91080,7
91081,7
91082,10
91083,10
91084,7
91085,8
91086,8
91087,9
91088,8
91089,9
91090,9
91091,7
91092,10
91093,7
91094,7
91095,9
91096,11
91097,10
91098,7
91099,8
91100,7
91101,10
91102,7
91103,7
91104,7
91105,10
91106,8
91107,6
91108,8
91109,11
91110,9
91111,7
91112,7
91113,8
91114,5
91115,8
91116,6
91117,7
91118,7
91119,7
91120,8
91121,10
91122,6
91123,7
91124,7
91125,7
91126,7
91127,6
91128,7
91129,7
91130,8
91131,7
91132,10
91133,8
91134,8
91135,7
91136,8
91137,8
91138,7
91139,8
91140,7
91141,8
91142,11
91143,7
91144,9
91145,8
91146,5
91147,8
91148,11
91149,7
91150,10
91151,8
91152,8
91153,7
91154,7
91155,9
91156,7
91157,9
91158,7
91159,8
91160,8
91161,8
91162,7
91163,6
91164,7
91165,9
91166,8
91167,7
91168,11
91169,7
91170,7
91171,7
91172,8
91173,7
91174,6
91175,7
91176,8
91177,9
91178,4
91179,8
91180,9
91181,7
91182,9
91183,7
91184,7
91185,7
91186,7
91187,7
91188,7
91189,11
91190,6
91191,7
91192,10
91193,7
91194,7
91195,7
91196,7
91197,7
91198,5
91199,7
91200,8
91201,9
91202,7
91203,7
91204,7
91205,11
91206,10
91207,10
91208,8
91209,8
91210,7
91211,8
91212,8
91213,5
91214,9
91215,7
91216,5
91217,7
91218,8
91219,9
91220,8
91221,7
91222,8
91223,10
91224,8
91225,10
91226,9
91227,7
91228,7
91229,8
91230,8
91231,7
91232,7
91233,10
91234,7
91235,10
91236,7
91237,7
91238,7
91239,8
91240,7
91241,10
91242,9
91243,10
91244,8
91245,7
91246,7
91247,7
91248,8
91249,7
91250,7
91251,9
91252,8
91253,7
91254,5
91255,8
91256,8
91257,7
91258,7
91259,10
91260,7
91261,7
91262,8
91263,6
91264,7
91265,7
91266,8
91267,7
91268,7
91269,11
91270,12
91271,7
91272,8
91273,10
91274,7
91275,7
91276,8
91277,10
91278,10
91279,7
91280,8
91281,7
91282,10
91283,7
91284,7
91285,10
91286,7
91287,8
91288,8
91289,9
91290,7
91291,7
91292,20
91293,8
91294,7
91295,8
91296,8
91297,10
91298,9
91299,7
91300,7
91301,7
91302,8
91303,10
91304,8
91305,8
91306,6
91307,7
91308,8
91309,10
91310,7
91311,7
91312,10
91313,7
91314,6
91315,8
91316,7
91317,8
91318,7
91319,7
91320,7
91321,7
91322,4
91323,7
91324,7
91325,7
91326,9
91327,9
91328,8
91329,9
91330,7
91331,7
91332,10
91333,7
91334,8
91335,4
91336,9
91337,7
91338,7
91339,8
91340,7
91341,6
91342,9
91343,7
91344,7
91345,7
91346,7
91347,9
91348,7
91349,10
91350,4
91351,8
91352,10
91353,10
91354,8
91355,7
91356,9
91357,11
91358,11
91359,8
91360,5
91361,7
91362,7
91363,7
91364,7
91365,7
91366,8
91367,8
91368,7
91369,7
91370,8
91371,7
91372,7
91373,8
91374,7
91375,7
91376,7
91377,8
91378,11
91379,7
91380,9
91381,8
91382,4
91383,6
91384,8
91385,11
91386,8
91387,9
91388,11
91389,6
91390,7
91391,7
91392,8
91393,7
91394,8
91395,7
91396,10
91397,10
91398,10
91399,7
91400,7
91401,8
91402,8
91403,4
91404,8
91405,8
91406,9
91407,7
91408,7
91409,11
91410,7
91411,11
91412,8
91413,8
91414,7
91415,8
91416,8
91417,7
91418,10
91419,11
91420,11
91421,8
91422,7
91423,10
91424,7
91425,8
91426,7
91427,7
91428,8
91429,7
91430,8
91431,7
91432,10
91433,7
91434,11
91435,9
91436,8
91437,10
91438,7
91439,7
91440,8
91441,7
91442,9
91443,10
91444,11
91445,8
91446,5
91447,11
91448,7
91449,11
91450,10
91451,10
91452,11
91453,7
91454,8
91455,13
91456,7
91457,6
91458,10
91459,9
91460,8
91461,7
91462,7
91463,9
91464,7
91465,8
91466,11
91467,12
91468,11
91469,11
91470,7
91471,11
91472,4
91473,7
91474,9
91475,8
91476,9
91477,7
91478,7
91479,4
91480,9
91481,10
91482,8
91483,7
91484,6
91485,8
91486,7
91487,8
91488,9
91489,13
91490,10
91491,7
91492,8
91493,7
91494,8
91495,7
91496,9
91497,7
91498,7
91499,8
91500,10
91501,8
91502,8
91503,7
91504,7
91505,7
91506,9
91507,7
91508,8
91509,11
91510,8
91511,10
91512,8
91513,7
91514,7
91515,8
91516,7
91517,4
91518,9
91519,7
91520,7
91521,9
91522,7
91523,8
91524,7
91525,9
91526,7
91527,7
91528,10
91529,9
91530,7
91531,8
91532,11
91533,9
91534,7
91535,7
91536,8
91537,8
91538,7
91539,7
91540,9
91541,7
91542,7
91543,11
91544,7
91545,7
91546,7
91547,7
91548,7
91549,7
91550,7
91551,8
91552,7
91553,8
91554,7
91555,7
91556,5
91557,7
91558,9
91559,7
91560,7
91561,8
91562,9
91563,7
91564,11
91565,9
91566,6
91567,10
91568,8
91569,4
91570,7
91571,8
91572,9
91573,7
91574,8
91575,8
91576,7
91577,11
91578,8
91579,11
91580,8
91581,7
91582,11
91583,8
91584,8
91585,10
91586,11
91587,7
91588,11
91589,5
91590,8
91591,5
91592,7
91593,5
91594,7
91595,7
91596,7
91597,8
91598,8
91599,11
91600,7
91601,5
91602,10
91603,7
91604,7
91605,7
91606,8
91607,7
91608,7
91609,9
91610,8
91611,8
91612,8
91613,8
91614,7
91615,9
91616,7
91617,7
91618,8
91619,7
91620,7
91621,10
91622,7
91623,10
91624,8
91625,6
91626,8
91627,8
91628,8
91629,7
91630,7
91631,7
91632,9
91633,7
91634,7
91635,7
91636,7
91637,11
91638,11
91639,9
91640,7
91641,5
91642,8
91643,8
91644,11
91645,6
91646,6
91647,8
91648,7
91649,8
91650,8
91651,7
91652,8
91653,7
91654,7
91655,11
91656,6
91657,7
91658,5
91659,9
91660,9
91661,7
91662,7
91663,4
91664,7
91665,7
91666,12
91667,5
91668,14
91669,8
91670,7
91671,7
91672,7
91673,8
91674,7
91675,8
91676,10
91677,11
91678,8
91679,8
91680,8
91681,10
91682,7
91683,4
91684,8
91685,7
91686,7
91687,7
91688,12
91689,7
91690,7
91691,4
91692,11
91693,7
91694,8
91695,7
91696,7
91697,8
91698,4
91699,9
91700,7
91701,11
91702,8
91703,9
91704,7
91705,7
91706,8
91707,8
91708,9
91709,9
91710,8
91711,11
91712,7
91713,8
91714,9
91715,11
91716,9
91717,9
91718,7
91719,9
91720,7
91721,11
91722,8
91723,9
91724,7
91725,9
91726,7
91727,4
91728,7
91729,9
91730,10
91731,11
91732,7
91733,8
91734,10
91735,7
91736,6
91737,7
91738,8
91739,7
91740,10
91741,9
91742,8
91743,7
91744,8
91745,7
91746,10
91747,7
91748,7
91749,10
91750,7
91751,5
91752,5
91753,7
91754,9
91755,7
91756,7
91757,11
91758,7
91759,8
91760,10
91761,7
91762,8
91763,5
91764,7
91765,8
91766,7
91767,7
91768,7
91769,9
91770,7
91771,11
91772,8
91773,10
91774,8
91775,7
91776,8
91777,4
91778,9
91779,7
91780,7
91781,8
91782,11
91783,7
91784,7
91785,8
91786,9
91787,8
91788,9
91789,8
91790,8
91791,8
91792,6
91793,10
91794,11
91795,11
91796,7
91797,10
91798,7
91799,7
91800,8
91801,8
91802,9
91803,5
91804,7
91805,8
91806,7
91807,6
91808,9
91809,8
91810,11
91811,9
91812,7
91813,7
91814,9
91815,8
91816,7
91817,7
91818,7
91819,5
91820,8
91821,5
91822,8
91823,11
91824,7
91825,10
91826,7
91827,8
91828,7
91829,9
91830,7
91831,8
91832,7
91833,9
91834,7
91835,6
91836,7
91837,8
91838,7
91839,7
91840,7
91841,7
91842,7
91843,8
91844,4
91845,10
91846,9
91847,7
91848,9
91849,8
91850,8
91851,8
91852,11
91853,7
91854,7
91855,7
91856,7
91857,7
91858,8
91859,7
91860,8
91861,7
91862,7
91863,7
91864,4
91865,10
91866,5
91867,8
91868,7
91869,7
91870,8
91871,11
91872,4
91873,9
91874,7
91875,6
91876,7
91877,7
91878,9
91879,7
91880,10
91881,8
91882,11
91883,9
91884,8
91885,5
91886,5
91887,7
91888,7
91889,9
91890,9
91891,11
91892,4
91893,7
91894,7
91895,11
91896,8
91897,10
91898,7
91899,8
91900,7
91901,8
91902,7
91903,7
91904,7
91905,10
91906,12
91907,11
91908,9
91909,7
91910,11
91911,7
91912,7
91913,8
91914,5
91915,7
91916,10
91917,11
91918,7
91919,7
91920,7
91921,9
91922,9
91923,4
91924,8
91925,7
91926,10
91927,8
91928,7
91929,7
91930,7
91931,9
91932,9
91933,7
91934,7
91935,8
91936,7
91937,8
91938,10
91939,7
91940,9
91941,8
91942,8
91943,9
91944,7
91945,8
91946,7
91947,9
91948,8
91949,8
91950,11
91951,7
91952,7
91953,8
